ResultType,ShortMessage,LongMessage
90085,OrgIdWsFederationSltRedemptionFailed ,OrgIdWsFederationSltRedemptionFailed - The service is unable to issue a token because the company object hasn't been provisioned yet.
90086,OrgIdWsTrustDaTokenExpired ,OrgIdWsTrustDaTokenExpired - The user DA token is expired.
90087,OrgIdWsFederationMessageCreationFromUriFailed ,OrgIdWsFederationMessageCreationFromUriFailed - An error occurred while creating the WS-Federation message from the URI.
90090,GraphRetryableError ,GraphRetryableError - The service is temporarily unavailable.
90091,GraphServiceUnreachable,GraphServiceUnreachable
90092,GraphNonRetryableError,GraphNonRetryableError
90093,GraphUserUnauthorized ,GraphUserUnauthorized - Graph returned with a forbidden error code for the request.
90094,AdminConsentRequired ,AdminConsentRequired - Administrator consent is required.
90095,AdminConsentRequiredRequestAccess,"AdminConsentRequiredRequestAccess- In the Admin Consent Workflow experience, an interrupt that appears when the user is told they need to ask the admin for consent."
90099,ApplicationNotAuthorizedInTenant,The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them. Provide pre-consent or execute the appropriate Partner Center API to authorize the application.
90100,InvalidRequestParameter ,InvalidRequestParameter - The parameter is empty or not valid.
90101,InvalidEmailAddress ,InvalidEmailAddress - The supplied data isn't a valid email address. The email address must be in the format someone@example.com.
90102,InvalidUriParameter ,InvalidUriParameter - The value must be a valid absolute URI.
90107,InvalidXml ,InvalidXml - The request isn't valid. Make sure your data doesn't have invalid characters.
90114,InvalidExpiryDate ,InvalidExpiryDate - The bulk token expiration timestamp will cause an expired token to be issued.
90117,InvalidRequestInput,InvalidRequestInput
90119,InvalidUserCode ,InvalidUserCode - The user code is null or empty.
90120,InvalidDeviceFlowRequest ,InvalidDeviceFlowRequest - The request was already authorized or declined.
90121,InvalidEmptyRequest ,InvalidEmptyRequest - Invalid empty request.
90123,IdentityProviderAccessDenied ,IdentityProviderAccessDenied - The token can't be issued because the identity or claim issuance provider denied the request.
90124,V1ResourceV2GlobalEndpointNotSupported ,V1ResourceV2GlobalEndpointNotSupported - The resource isn't supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
90125,DebugModeEnrollTenantNotFound ,DebugModeEnrollTenantNotFound - The user isn't in the system. Make sure you entered the user name correctly.
90126,DebugModeEnrollTenantNotInferred ,DebugModeEnrollTenantNotInferred - The user type isn't supported on this endpoint. The system can't infer the user's tenant from the user name.
90130,NonConvergedAppV2GlobalEndpointNotSupported ,NonConvergedAppV2GlobalEndpointNotSupported - The application isn't supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
100007,AzureADRegionalWrongAuthType,Azure AD Regional ONLY supports auth either for MSIs OR for requests from MSAL using SN+I for 1P apps or 3P apps in Microsoft infrastructure tenants.
120000,PasswordChangeIncorrectCurrentPassword,PasswordChangeIncorrectCurrentPassword
120002,PasswordChangeInvalidNewPasswordWeak,PasswordChangeInvalidNewPasswordWeak
120003,PasswordChangeInvalidNewPasswordContainsMemberName,PasswordChangeInvalidNewPasswordContainsMemberName
120004,PasswordChangeOnPremComplexity,PasswordChangeOnPremComplexity
120005,PasswordChangeOnPremSuccessCloudFail,PasswordChangeOnPremSuccessCloudFail
120008,PasswordChangeAsyncJobStateTerminated ,PasswordChangeAsyncJobStateTerminated - A non-retryable error has occurred.
120011,PasswordChangeAsyncUpnInferenceFailed,PasswordChangeAsyncUpnInferenceFailed
120012,PasswordChangeNeedsToHappenOnPrem,PasswordChangeNeedsToHappenOnPrem
120013,PasswordChangeOnPremisesConnectivityFailure,PasswordChangeOnPremisesConnectivityFailure
120014,PasswordChangeOnPremUserAccountLockedOutOrDisabled,PasswordChangeOnPremUserAccountLockedOutOrDisabled
120015,PasswordChangeADAdminActionRequired,PasswordChangeADAdminActionRequired
120016,PasswordChangeUserNotFoundBySspr,PasswordChangeUserNotFoundBySspr
120018,PasswordChangePasswordDoesnotComplyFuzzyPolicy,PasswordChangePasswordDoesnotComplyFuzzyPolicy
120020,PasswordChangeFailure,PasswordChangeFailure
120021,PartnerServiceSsprInternalServiceError,PartnerServiceSsprInternalServiceError
130004,NgcKeyNotFound ,NgcKeyNotFound - The user principal doesn't have the NGC ID key configured.
130005,NgcInvalidSignature ,NgcInvalidSignature - NGC key signature verified failed.
130006,NgcTransportKeyNotFound ,NgcTransportKeyNotFound - The NGC transport key isn't configured on the device.
130007,NgcDeviceIsDisabled ,NgcDeviceIsDisabled - The device is disabled.
130008,NgcDeviceIsNotFound ,NgcDeviceIsNotFound - The device referenced by the NGC key wasn't found.
135010,KeyNotFound,KeyNotFound
135011,DeviceIsDisabled,Device used during the authentication is disabled.
140000,InvalidRequestNonce ,InvalidRequestNonce - Request nonce isn't provided.
140001,InvalidSessionKey ,InvalidSessionKey - The session key isn't valid.
165004,RuntimeSpecificErrorSeeMessage,Actual message content is runtime specific. Please see returned exception message for details.
165900,InvalidApiRequest ,InvalidApiRequest - Invalid request.
220450,UnsupportedAndroidWebViewVersion ,UnsupportedAndroidWebViewVersion - The Chrome WebView version isn't supported.
220501,InvalidCrlDownload,InvalidCrlDownload
221000,DeviceOnlyTokensNotSupportedByResource ,DeviceOnlyTokensNotSupportedByResource - The resource isn't configured to accept device-only tokens.
230062,PrimaryRefreshTokenNotSupported,Presented or requested primary refresh token could not be supported
240001,BulkAADJTokenUnauthorized ,BulkAADJTokenUnauthorized - The user isn't authorized to register devices in Azure AD.
240002,RequiredClaimIsMissing ,RequiredClaimIsMissing - The id_token can't be used as urn:ietf:params:oauth:grant-type:jwt-bearer grant.
500011,InvalidResourceServicePrincipalNotFound ,"InvalidResourceServicePrincipalNotFound - The resource principal named {name} was not found in the tenant named {tenant}. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant. If you expect the app to be installed, you may need to provide administrator permissions to add it. Check with the developers of the resource and application to understand what the right setup for your tenant is."
500021,AccessToTenantIsDenied500021,"Access to '{tenant}' tenant is denied. 500021 indicates that the tenant restriction feature is configured and that the user is trying to access a tenant that isn't in the list of allowed tenants specified in the header Restrict-Access-To-Tenant. For more information, see Use tenant restrictions to manage access to SaaS cloud applications."
500022,AccessToTenantIsDenied500022,"Access to '{tenant}' tenant is denied. 500022 indicates that the tenant restriction feature is configured and that the user is trying to access a tenant that isn't in the list of allowed tenants specified in the header Restrict-Access-To-Tenant. For more information, see Use tenant restrictions to manage access to SaaS cloud applications."
500112,ReplyAddressDoesNotMatch,The reply address does not match the reply address provided when requesting Authorization code
500113,NoReplyAddressRegistered,No reply address is registered for the application
500131,AssertionAudienceDoesNotMatchClientApp,Assertion audience does not match the Client app presenting the assertion
500133,Undocumented500133,Undocumented 500133
500212,NotAllowedByOutboundPolicyTenant ,NotAllowedByOutboundPolicyTenant - The user's administrator has set an outbound access policy that doesn't allow access to the resource tenant.
500213,NotAllowedByInboundPolicyTenant ,NotAllowedByInboundPolicyTenant - The resource tenant's cross-tenant access policy doesn't allow this user to access this tenant.
500571,Undocumented500571,Undocumented 500571
501241,MandatoryInputMissing,"Mandatory Input '{paramName}' missing from transformation ID '{transformId}'. This error is returned while Azure AD is trying to build a SAML response to the application. NameID claim or NameIdentifier is mandatory in SAML response and if Azure AD failed to get source attribute for NameID claim, it will return this error. As a resolution, ensure you add claim rules in Azure portal > Azure Active Directory > Enterprise Applications > Select your application > Single Sign-On > User Attributes & Claims > Unique User Identifier (Name ID)."
501481,CodeVerifierDoesntMatchCodeChallenge,The Code_Verifier doesn't match the code_challenge supplied in the authorization request.
501491,InvalidCodeChallengeMethodInvalidSize ,InvalidCodeChallengeMethodInvalidSize - Invalid size of Code_Challenge parameter.
530032,BlockedByConditionalAccessOnSecurityPolicy ,BlockedByConditionalAccessOnSecurityPolicy - The tenant admin has configured a security policy that blocks this request. Check the security policies that are defined on the tenant level to determine if your request meets the policy requirements.
530034,DelegatedAdminBlockedDueToSuspiciousActivity ,DelegatedAdminBlockedDueToSuspiciousActivity - A delegated administrator was blocked from accessing the tenant due to account risk in their home tenant.
650052,AppNeedsServiceNotSubscribed,"The app needs access to a service (\""{name}\"") that your organization \""{organization}\"" has not subscribed to or enabled. Contact your IT Admin to review the configuration of your service subscriptions."
650054,AppNeedsPermissions,The application asked for permissions to access a resource that has been removed or is no longer available. Make sure that all resources the app is calling are present in the tenant you're operating in.
650056,MisconfiguredApplication650056,"Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or, the admin has not consented in the tenant. Or, check the application identifier in the request to ensure it matches the configured client application identifier. Or, check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {ID}. Please contact your admin to fix the configuration or consent on behalf of the tenant."
650057,InvalidResource,Invalid resource. The client has requested access to a resource which isn't listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}.
700003,DeviceNotFoundInTenant,Device object was not found in the tenant
700005,InvalidGrantRedeemAgainstWrongTenant ,"InvalidGrantRedeemAgainstWrongTenant - Provided Authorization Code is intended to use against other tenant, thus rejected. OAuth2 Authorization Code must be redeemed against same tenant it was acquired for (/common or /{tenant-ID} as appropriate)"
700007,GrantIssuedForDifferentClientID,The grant was issued for a different client id
700011,UnauthorizedClientAppNotFoundInOrgIdTenant ,"UnauthorizedClientAppNotFoundInOrgIdTenant - Application with identifier {appIdentifier} was not found in the directory. A client application requested a token from your tenant, but the client app doesn't exist in your tenant, so the call failed."
700016,UnauthorizedClient_DoesNotMatchRequest ,UnauthorizedClient_DoesNotMatchRequest - The application wasn't found in the directory/tenant. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have misconfigured the identifier value for the application or sent your authentication request to the wrong tenant.
700020,InteractionRequired ,InteractionRequired - The access grant requires interaction.
700022,InvalidMultipleResourcesScope ,InvalidMultipleResourcesScope - The provided value for the input parameter scope isn't valid because it contains more than one resource.
700023,InvalidResourcelessScope ,InvalidResourcelessScope - The provided value for the input parameter scope isn't valid when request an access token.
700024,Undocumented700024,Undocumented 700024
700025,InvalidClientPublicClientWithCredential ,InvalidClientPublicClientWithCredential - Client is public so neither 'client_assertion' nor 'client_secret' should be presented.
700027,ClientAssertionFailedSignatureValidation,Client assertion failed signature validation
700030,Invalid certificate ,Invalid certificate - subject name in certificate isn't authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}.
700054,ResponseTypeNotEnabledForApplication,"Response_type 'id_token' isn't enabled for the application. The application requested an ID token from the authorization endpoint, but did not have ID token implicit grant enabled. Go to Azure portal > Azure Active Directory > App registrations > Select your application > Authentication > Under 'Implicit grant and hybrid flows', make sure 'ID tokens' is selected."
700082,ExpiredOrRevokedGrantInactiveToken ,"ExpiredOrRevokedGrantInactiveToken - The refresh token has expired due to inactivity. The token was issued on {issueDate} and was inactive for {time}. Expected part of the token lifecycle - the user went an extended period of time without using the application, so the token was expired when the app attempted to refresh it."
700084,RefreshTokenLifetimeCantBeExtended,"The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which can't be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}."
750054,SAMLRequestOrSAMLResponseNotPresentAsQuerystring,"SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding. To learn more, see the troubleshooting article for error 750054."
900144,NameMissingDeveloperError,The request body must contain the following parameter: '{name}'. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
900236,InvalidRequestSamlPropertyUnsupported,InvalidRequestSamlPropertyUnsupported- The SAML authentication request property '{propertyName}' is not supported and must not be set.
900382,ConfidentialClientNotSupportedCrossCloud900382,Confidential Client isn't supported in Cross Cloud request.
900432,ConfidentialClientNotSupportedCrossCloud900432,Confidential Client isn't supported in Cross Cloud request.
900561,BadResourceRequestInvalidRequest ,"BadResourceRequestInvalidRequest - The endpoint only accepts {valid_verbs} requests. Received a {invalid_verb} request. {valid_verbs} represents a list of HTTP verbs supported by the endpoint (for example, POST), {invalid_verb} is an HTTP verb used in the current request (for example, GET). This can be due to developer error, or due to users pressing the back button in their browser, triggering a bad request. It can be ignored."
900971,NoReplyAddressProvided,No reply address provided.
901002,ResourceRequestParameterNotSupported,901002: The 'resource' request parameter isn't supported.
1000000,UserNotBoundError ,"UserNotBoundError - The Bind API requires the Azure AD user to also authenticate with an external IDP, which hasn't happened yet."
1000002,BindCompleteInterruptError ,"BindCompleteInterruptError - The bind completed successfully, but the user must be informed."
1000031,ApplicationCantBeAccessed,Application {appDisplayName} can't be accessed at this time. Contact your administrator.
1000104,XCB2BResourceCloudNotAllowedOnIdentityTenant ,XCB2BResourceCloudNotAllowedOnIdentityTenant - Resource cloud {resourceCloud} isn't allowed on identity tenant {identityTenant}. {resourceCloud} - cloud instance which owns the resource. {identityTenant} - is the tenant where signing-in identity is originated from.
7000112,UnauthorizedClientApplicationDisabled ,UnauthorizedClientApplicationDisabled - The application is disabled.
7000114,ApplicationNotAllowedToMakeOnBehalfOfCalls,Application 'appIdentifier' isn't allowed to make application on-behalf-of calls.
7000215,InvalidClientSecretDeveloperError,Invalid client secret is provided. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
7000218,RequestBodyMustContainClientAssertionOrClientSecret,The request body must contain the following parameter: 'client_assertion' or 'client_secret'.
7000222,InvalidClientSecretExpiredKeysProvided ,"InvalidClientSecretExpiredKeysProvided - The provided client secret keys are expired. Visit the Azure portal to create new keys for your app, or consider using certificate credentials for added security: https://aka.ms/certCreds"
7500514,SupportedSAMLResponseNotFound,A supported type of SAML response was not found. The supported response types are 'Response' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:protocol') or 'Assertion' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:assertion'). Application error - the developer will handle this error.
7500529,InvalidSAMLID,"The value ?SAMLId-Guid? isn't a valid SAML ID - Azure AD uses this attribute to populate the InResponseTo attribute of the returned response. ID must not begin with a number, so a common strategy is to prepend a string like ""ID"" to the string representation of a GUID. For example, id6c1c178c166d486687be4aaf5e482730 is a valid ID."
9001023,GrantTypeNotSupported,The grant type isn't supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint.
9002313,InvalidRequest ,InvalidRequest - Request is malformed or invalid. - The issue here is because there was something wrong with the request to a certain endpoint. The suggestion to this issue is to get a fiddler trace of the error occurring and looking to see if the request is actually properly formatted or not.
9002332,AplicationConfiguredForAADOnly,Application '{principalId}'({principalName}) is configured for use by Azure Active Directory users only. Please do not use the /consumers endpoint to serve this request.
